    date	     PM2.5   TEMP   PRES   	DEWP	
2017-01-01 00:0	0	129		5	  	1019		  -5
2017-01-01 01:0	0	148		4.9		1019		-5.2
2017-01-01 02:0	0	159		4.8		1018		-5.3
2017-01-01 03:0	0	181		4.7		1018		-5.5
2017-01-01 04:0	0	197		4.6		1018		-5.8
2017-01-01 05:0	0	211		4.4		1017		-6
2017-01-01 06:0	0	236		4.3		1017		-6.2
2017-01-01 07:0	0	265		4.1		1016		-6.5
2017-01-01 08:0	0	289		4		  1016	 	-6.8
2017-01-01 09:0	0	310		3.9		1015		-7
2017-01-01 10:0	0	322		3.8		1015		-7.2
2017-01-01 11:0	0	334		3.7		1015		-7.3
2017-01-01 12:0	0	345		3.6		1014		-7.5
2017-01-01 13:0	0	341		3.8		1013		-7.1
2017-01-01 14:0	0	330		4.1		1012		-6.8
2017-01-01 15:0	0	319		4.5		1011		-6.3
2017-01-01 16:0	0	302		5		  1010		-6
2017-01-01 17:0	0	278		5.5		1009		-5.6
2017-01-01 18:0	0	250		6	   	1008		-5
2017-01-01 19:0	0	220		6.4		1008		-4.5
2017-01-01 20:0	0	198		6.7		1007		-4.2
2017-01-01 21:0	0	174		6.8		1007		-4
2017-01-01 22:0	0	152		6.9		1007		-3.8
2017-01-01 23:0	0	140		6.8		1006		-3.5

